CEC Plant ID,Capacity (MW),Net Generation (MWh),Total Fuel Use (MMBtu),State,Year
S0161,23,33583,0,CA,2021
S0162,1,1759,0,CA,2021
S0163,2,3151,0,CA,2021
S0164,2,3953,0,CA,2021
S0165,2,2628,0,CA,2021
S0166,2,2628,0,CA,2021
S0167,2,2628,0,CA,2021
S0168,2,2787,0,CA,2021
S0169,2,2628,0,CA,2021
S0170,2,2628,0,CA,2021
S0171,2,2628,0,CA,2021
S0172,2,2628,0,CA,2021
S0173,2,2628,0,CA,2021
S0174,2,2628,0,CA,2021
S0176,20,40360,0,CA,2021
S0177,20,35018,0,CA,2021
S0178,10,9983,0,CA,2021
S0179,2,867,0,CA,2021
S0180,26,62259,0,CA,2021
S0181,2,3679,0,CA,2021
S0182,1,1927,0,CA,2021
S0183,1,1840,0,CA,2021
S0184,1,1840,0,CA,2021
S0185,3,3394,0,CA,2021
S0186,3,3096,0,CA,2021
S0187,1,1456,0,CA,2021
S0188,2,1739,0,CA,2021
S0189,5,4245,0,CA,2021
S0190,5,3629,0,CA,2021
S0191,5,3233,0,CA,2021
S0192,2,1639,0,CA,2021
S0193,5,3871,0,CA,2021
S0194,2,1506,0,CA,2021
S0195,3,680,0,CA,2021
S0196,4,3112,0,CA,2021
S0197,9,6582,0,CA,2021
S0198,5,4221,0,CA,2021
S0199,2,1602,0,CA,2021
S0200,1,1374,0,CA,2021
S0201,7,8091,0,CA,2021
S0202,10,0,0,CA,2021
S0203,1,1995,0,CA,2021
S0204,3,5768,0,CA,2021
S0205,5,11177,0,CA,2021
S0206,5,11250,0,CA,2021
S0207,5,10968,0,CA,2021
S0208,1,1730,0,CA,2021
S0209,1,1991,0,CA,2021
S0210,2,1335,0,CA,2021
S0211,5,11700,0,CA,2021
S0212,5,11799,0,CA,2021
S0213,5,11706,0,CA,2021
S0214,5,12234,0,CA,2021
S0215,5,11511,0,CA,2021
S0216,5,11549,0,CA,2021
S0218,10,8724,0,CA,2021
S0219,2,3313,0,CA,2021
S0220,1,1690,0,CA,2021
S0221,2,1028,0,CA,2021
S0222,1,2024,0,CA,2021
S0223,10,18693,0,CA,2021
S0224,20,26488,0,CA,2021
S0225,20,38864,0,CA,2021
S0226,2,2175,0,CA,2021
S0227,3,2070,0,CA,2021
S0237,66,159278,0,CA,2021
S0238,26,66212,0,CA,2021
S0239,20,52136,0,CA,2021
S0240,250,679525,0,CA,2021
S0241,250,593690,0,CA,2021
S0242,290,707643,0,AZ,2021
S0243,58,115417,0,NV,2021
S0244,155,359174,0,NV,2021
S0245,550,1300787,0,CA,2021
S0246,50,113171,0,CA,2021
S0247,20,43595,0,CA,2021
S0248,20,48173,0,CA,2021
S0249,20,48571,0,CA,2021
S0250,3,5659,0,CA,2021
S0251,5,10289,0,CA,2021
S0252,318,892352,0,CA,2021
S0253,279,790350,0,CA,2021
S0254,165,405068,0,AZ,2021
S0255,129,288497,0,CA,2021
S0256,250,587990,0,CA,2021
S0257,300,696348,0,CA,2021
S0258,147,345347,0,CA,2021
S0259,250,540091,0,CA,2021
S0260,20,51519,0,CA,2021
S0261,2,3459,0,CA,2021
S0262,2,3428,0,CA,2021
S0271,20,49824,0,CA,2021
S0278,5,10447,0,CA,2021
S0279,18,45505,0,CA,2021
S0280,3,5564,0,CA,2021
