,Nuclear,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle,onshore_wind_turbine,solar_photovoltaic,actual_solar,actual_wind,charge,discharge,soc,demand,net_supply,curtail,Hour
204,0.0,1938.5999999999997,-407.82452147639947,0.0,173.2245214764,0.0,-203.91226073819973,-30.68773926179972,407.82452147639947,0.0,6741.533310545902,1704,1703.9999999999998,0.0,205
205,0.0,1920.95,42.40016286000037,0.0,93.64983714,0.0,0.0,93.64983714,0.0,42.40016286000037,6691.056926188759,2057,2057.0,0.0,206
206,0.0,1897.55,450.9508306872003,0.0,176.4991693128,0.0,0.0,176.4991693128,0.0,450.9508306872003,6154.210699180187,2525,2525.0,0.0,207
207,0.0,1886.8,534.8178273900003,0.0,122.5501430004,195.8320296096,195.8320296096,122.5501430004,0.0,534.8178273900003,5517.5228094301865,2740,2740.0,0.0,208
208,0.0,1883.9500000000053,23.69617501559333,0.0,105.7021514784,783.6516735060001,783.6516735060001,105.7021514784,0.0,23.69617501559333,5489.3130772687655,2797,2796.999999999998,0.0,209
209,0.0,1882.3499999999997,-219.46120120439969,0.0,17.6050483812,1148.5061528232002,1038.7755522210005,-92.12555222099984,219.46120120439969,0.0,5673.660486280462,2829,2829.0,0.0,210
210,0.0,1882.55,-437.0154357251995,0.0,37.211032638000006,1342.2544030872,1123.7466852246002,-181.2966852245997,437.0154357251995,0.0,6040.753452289629,2825,2825.0,0.0,211
211,0.0,1879.15,-625.9123032287997,0.0,172.2615372072,1467.5007660216002,1154.5446144072002,-140.69461440719985,625.9123032287997,0.0,6566.519787001821,2893,2893.0,0.0,212
212,0.0,1643.5687124470342,-350.07371487063426,0.0,77.36548640640001,1489.1395160172,1314.102658581883,-97.67137102891712,350.07371487063426,0.0,6860.581707493154,2860,2860.0,0.0,213
213,0.0,1884.3499999999997,-819.4931683247995,0.0,260.6512299624,1463.4919383624,1053.7453542,-149.09535419999975,819.4931683247995,0.0,7548.955968885985,2789,2789.0,0.0,214
214,0.0,1888.550000000003,-677.6307885660029,0.0,147.6413750495999,1346.4394135164,1007.6240192333984,-191.1740192334016,677.6307885660029,0.0,8118.165831281428,2705,2705.0,8.526512829121202e-14,215
215,0.0,1000.4885724540004,313.4592982763997,0.0,165.860225766,1115.1919035036,1115.1919035036,165.860225766,0.0,313.4592982763997,7745.0,2595,2595.0,2.8421709430404014e-14,216
216,100.00000000000004,359.23,1195.2816871956002,0.0,144.9122113776,737.5761014268,737.5761014268,144.9122113776,0.0,1195.2816871956002,7745.0,2537,2537.0,0.0,217
217,100.00000000000004,1853.330821596,575.6016871956001,0.0,160.0674912084,0.0,0.0,160.0674912084,0.0,575.6016871956001,7059.759896195714,2689,2689.0,0.0,218
218,100.00000000000004,2087.8499999999995,454.4181301968004,0.0,76.7318698032,0.0,0.0,76.7318698032,0.0,454.4181301968004,6518.785931675713,2719,2719.0,0.0,219
219,100.00000000000004,2090.7,440.9583866244002,0.0,30.341613375600005,0.0,0.0,30.341613375600005,0.0,440.9583866244002,5993.83547140857,2662,2662.0,0.0,220
220,100.00000000000004,2094.9,336.9658960464003,0.0,46.1341039536,0.0,0.0,46.1341039536,0.0,336.9658960464003,5592.685595162855,2578,2578.0,0.0,221
221,100.00000000000004,2108.9,3.666671941200548,0.0,85.4333280588,0.0,0.0,85.4333280588,0.0,3.666671941200548,5588.3205095185685,2298,2298.0,0.0,222
222,0.0,1925.8499999999997,-26.21084977079977,0.0,59.3608497708,0.0,-13.105424885399884,46.25542488540012,26.21084977079977,0.0,5610.337623326041,1959,1959.0,0.0,223
223,0.0,1803.9440749129835,-145.80283939178355,0.0,43.858764478800005,0.0,-72.90141969589178,-29.04265521709177,145.80283939178355,0.0,5732.812008415139,1702,1702.0,0.0,224
224,0.0,1943.8499999999997,-345.3914097683994,0.0,0.5414097684,0.0,-172.6957048841997,-172.1542951157997,345.3914097683994,0.0,6022.940792620594,1599,1599.0,0.0,225
225,0.0,1947.65,-436.95355584839945,0.0,12.3035558484,0.0,-218.47677792419967,-206.1732220757997,436.95355584839945,0.0,6389.981779533249,1523,1523.0000000000002,0.0,226
226,0.0,1948.95,-452.5677620903998,0.0,0.6177620904,0.0,-226.2838810451999,-225.6661189547999,452.5677620903998,0.0,6770.138699689185,1497,1497.0,0.0,227
227,0.0,1945.5999999999997,-416.41651630559977,0.0,34.816516305600004,0.0,-208.20825815279989,-173.39174184719988,416.41651630559977,0.0,7119.928573385889,1564,1563.9999999999998,0.0,228
228,0.0,1936.2499999999995,-268.8240262439997,0.0,83.574026244,0.0,-134.41201312199985,-50.83798687799985,268.8240262439997,0.0,7345.740755430848,1751,1750.9999999999998,0.0,229
