,tech,existing_cap_mw,total_electricity_rev_$,unit_rev_$_per_mw,capacity_price_$_per_mw_day,adjustment_factor,total_capacity_rev_$,day
169,geothermal,2323.8,1.0110942617587494e-11,4.351038220839786e-15,28.92,0.9,60483.866400000006,28
170,hydroelectric_pumped_storage,1549.2,1685.0453627554944,1.0876874275467947,28.92,0.9,40322.5776,28
171,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,28
172,onshore_wind_turbine,1549.2,26275.85824063737,16.960920630414005,28.92,0.4,17921.1456,28
173,solar_photovoltaic,1549.2,45349.38993200801,29.272779455207854,28.92,0.4,17921.1456,28
174,Nuclear,500.0,133003.37505448397,266.00675010896794,28.92,0.9,13014.0,29
175,geothermal,2323.8,1.1066703362533575e-11,4.762330390968921e-15,28.92,0.9,60483.866400000006,29
176,hydroelectric_pumped_storage,1549.2,736.23538047271,0.4752358510668151,28.92,0.9,40322.5776,29
177,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,29
178,onshore_wind_turbine,1549.2,17015.8801784038,10.98365619571637,28.92,0.4,17921.1456,29
179,solar_photovoltaic,1549.2,39755.08192499567,25.66168469209635,28.92,0.4,17921.1456,29
180,Nuclear,500.0,111132.8343371826,222.2656686743652,28.92,0.9,13014.0,30
181,geothermal,2323.8,4.4468026238544006e-11,1.9135909389166023e-14,28.92,0.9,60483.866400000006,30
182,hydroelectric_pumped_storage,1549.2,1997.9499743957967,1.2896656173481775,28.92,0.9,40322.5776,30
183,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,30
184,onshore_wind_turbine,1549.2,38580.24067732808,24.90333118856705,28.92,0.4,17921.1456,30
185,solar_photovoltaic,1549.2,44756.98518568252,28.890385480042937,28.92,0.4,17921.1456,30
