,generator,total_cost_$_per_mwh,Hour
632,geothermal,3.539772808219178,633
633,geothermal,3.539772808219178,634
634,geothermal,3.539772808219178,635
635,geothermal,3.539772808219178,636
636,geothermal,3.539772808219178,637
637,geothermal,3.539772808219178,638
638,geothermal,3.539772808219178,639
639,geothermal,3.539772808219178,640
640,geothermal,3.539772808219178,641
641,geothermal,3.539772808219178,642
642,geothermal,3.539772808219178,643
643,geothermal,3.539772808219178,644
644,geothermal,3.539772808219178,645
645,geothermal,3.539772808219178,646
646,geothermal,3.539772808219178,647
647,geothermal,3.539772808219178,648
648,geothermal,3.539772808219178,649
649,geothermal,3.539772808219178,650
650,geothermal,3.539772808219178,651
651,geothermal,3.539772808219178,652
652,geothermal,3.539772808219178,653
653,geothermal,3.539772808219178,654
654,geothermal,3.539772808219178,655
655,geothermal,3.539772808219178,656
656,geothermal,3.539772808219178,657
657,geothermal,3.539772808219178,658
658,geothermal,3.539772808219178,659
659,geothermal,3.539772808219178,660
660,geothermal,3.539772808219178,661
661,geothermal,3.539772808219178,662
662,geothermal,3.539772808219178,663
663,geothermal,3.539772808219178,664
664,geothermal,3.539772808219178,665
665,geothermal,3.539772808219178,666
666,geothermal,3.539772808219178,667
667,geothermal,3.539772808219178,668
668,geothermal,3.539772808219178,669
669,geothermal,3.539772808219178,670
670,geothermal,3.539772808219178,671
671,geothermal,3.539772808219178,672
672,geothermal,3.539772808219178,673
673,geothermal,3.539772808219178,674
674,geothermal,3.539772808219178,675
675,geothermal,3.539772808219178,676
676,geothermal,3.539772808219178,677
677,geothermal,3.539772808219178,678
678,geothermal,3.539772808219178,679
679,geothermal,3.539772808219178,680
680,geothermal,3.539772808219178,681
681,geothermal,3.539772808219178,682
682,geothermal,3.539772808219178,683
683,geothermal,3.539772808219178,684
684,geothermal,3.539772808219178,685
685,geothermal,3.539772808219178,686
686,geothermal,3.539772808219178,687
687,geothermal,3.539772808219178,688
688,geothermal,3.539772808219178,689
689,geothermal,3.539772808219178,690
690,geothermal,3.539772808219178,691
691,geothermal,3.539772808219178,692
692,geothermal,3.539772808219178,693
693,geothermal,3.539772808219178,694
694,geothermal,3.539772808219178,695
695,geothermal,3.539772808219178,696
696,geothermal,3.539772808219178,697
697,geothermal,3.539772808219178,698
698,geothermal,3.539772808219178,699
699,geothermal,3.539772808219178,700
700,geothermal,3.539772808219178,701
701,geothermal,3.539772808219178,702
702,geothermal,3.539772808219178,703
703,geothermal,3.539772808219178,704
704,geothermal,3.539772808219178,705
705,geothermal,3.539772808219178,706
706,geothermal,3.539772808219178,707
707,geothermal,3.539772808219178,708
708,geothermal,3.539772808219178,709
709,geothermal,3.539772808219178,710
710,geothermal,3.539772808219178,711
711,geothermal,3.539772808219178,712
712,geothermal,3.539772808219178,713
713,geothermal,3.539772808219178,714
714,geothermal,3.539772808219178,715
715,geothermal,3.539772808219178,716
716,geothermal,3.539772808219178,717
717,geothermal,3.539772808219178,718
718,geothermal,3.539772808219178,719
719,geothermal,3.539772808219178,720
720,geothermal,3.539772808219178,721
721,geothermal,3.539772808219178,722
722,geothermal,3.539772808219178,723
723,geothermal,3.539772808219178,724
724,geothermal,3.539772808219178,725
725,geothermal,3.539772808219178,726
726,geothermal,3.539772808219178,727
727,geothermal,3.539772808219178,728
728,geothermal,3.539772808219178,729
729,geothermal,3.539772808219178,730
730,geothermal,3.539772808219178,731
731,geothermal,3.539772808219178,732
732,geothermal,3.539772808219178,733
733,geothermal,3.539772808219178,734
734,geothermal,3.539772808219178,735
735,geothermal,3.539772808219178,736
736,geothermal,3.539772808219178,737
737,geothermal,3.539772808219178,738
738,geothermal,3.539772808219178,739
739,geothermal,3.539772808219178,740
740,geothermal,3.539772808219178,741
741,geothermal,3.539772808219178,742
742,geothermal,3.539772808219178,743
743,geothermal,3.539772808219178,744
